Seat_ID,Seat_Name,Total_Voters,Total_Centers,Male_Voters,Female_Voters,Candidate,Party,Symbol,Votes,Status,Division
1,পঞ্চগড়-১,৪৬৩৭০০,১৫৫,২৩১৯৭৬,২৩১৭২৩,মুহাম্মদ নওশাদ জমির,বাংলাদেশ জাতীয়তাবাদী দল - বি.এন.পি,ধানের শীষ,১৭৬১৬৯,বিজয়ী,Rangpur
1,পঞ্চগড়-১,৪৬৩৭০০,১৫৫,২৩১৯৭৬,২৩১৭২৩,মোঃ সারজিস আলম,জাতীয় নাগরিক পার্টি-এনসিপি,শাপলা কলি,১৬৮০৪৯,পরাজিত,Rangpur
1,পঞ্চগড়-১,৪৬৩৭০০,১৫৫,২৩১৯৭৬,২৩১৭২৩,নাজমুল হক প্রধান,জাতীয় সমাজতান্ত্রিক দল(জাসদ),মোটরগাড়ি,৩০০৯,পরাজিত,Rangpur
1,পঞ্চগড়-১,৪৬৩৭০০,১৫৫,২৩১৯৭৬,২৩১৭২৩,মোঃ আব্দুল ওয়াদুদ (বাদশা),বাংলাদেশ সুপ্রীম পার্টি (বি.এস.পি),একতারা,১০১৮,পরাজিত,Rangpur
1,পঞ্চগড়-১,৪৬৩৭০০,১৫৫,২৩১৯৭৬,২৩১৭২৩,মোঃ মাহাফুজার রহমান,গণঅধিকার পরিষদ (জিওপি),ট্রাক,৮৩৬,পরাজিত,Rangpur
1,পঞ্চগড়-১,৪৬৩৭০০,১৫৫,২৩১৯৭৬,২৩১৭২৩,মোঃ ফেরদাউস আলম,বাংলাদেশ লেবার পার্টি,আনারস,৬৮৩,পরাজিত,Rangpur
1,পঞ্চগড়-১,৪৬৩৭০০,১৫৫,২৩১৯৭৬,২৩১৭২৩,মোঃ সিরাজুল ইসলাম,বাংলাদেশ ন্যাশনালিস্ট ফ্রন্ট (বিএনএফ),টেলিভিশন,২৬১,পরাজিত,Rangpur
2,পঞ্চগড়-২,৪১৭৫২৯,১৩২,২০৯৭০৮,২০৭৮১৮,ফরহাদ হোসেন আজাদ,বাংলাদেশ জাতীয়তাবাদী দল - বি.এন.পি,ধানের শীষ,১৭৪৬৫০,বিজয়ী,Rangpur
2,পঞ্চগড়-২,৪১৭৫২৯,১৩২,২০৯৭০৮,২০৭৮১৮,মোঃ সফিউল আলম,বাংলাদেশ জামায়াতে ইসলামী,দাঁড়িপাল্লা,১২৮৮৬২,পরাজিত,Rangpur
2,পঞ্চগড়-২,৪১৭৫২৯,১৩২,২০৯৭০৮,২০৭৮১৮,মোঃ কামরুল হাসান প্রধান,ইসলামী আন্দোলন বাংলাদেশ,হাতপাখা,৪৩৯১,পরাজিত,Rangpur
