Seat_ID,Seat_Name,Division,11PA,BNP-A,DUF,GSA,IAB,IND,NDF,Others
1,পঞ্চগড়-১,Rangpur,168732,177005,3009,1018,0,0,0,261
2,পঞ্চগড়-২,Rangpur,128862,174650,935,1352,4391,1854,2152,953
3,ঠাকুরগাঁও-১,Rangpur,141017,238836,0,0,3591,0,0,0
4,ঠাকুরগাঁও-২,Rangpur,116158,122860,380,0,437,0,2876,0
5,ঠাকুরগাঁও-৩,Rangpur,91934,133349,1548,503,1295,279,27133,793
6,দিনাজপুর-১,Rangpur,117481,179709,0,0,3095,0,1530,2280
7,দিনাজপুর-২,Rangpur,105933,139622,0,0,1061,19475,5108,0
8,দিনাজপুর-৩,Rangpur,136239,140608,984,0,1408,0,4052,337
9,দিনাজপুর-৪,Rangpur,129056,166717,0,0,1699,0,3152,0
10,দিনাজপুর-৫,Rangpur,110195,98544,0,0,0,122803,1503,0
11,দিনাজপুর-৬,Rangpur,190703,205118,449,0,1659,570,2689,0
12,নীলফামারী-১,Rangpur,150824,119059,312,0,1871,0,16777,4687
13,নীলফামারী-২,Rangpur,146781,135418,0,0,3260,307,0,193
14,নীলফামারী-৩,Rangpur,109686,89807,0,0,990,0,3391,0
15,নীলফামারী-৪,Rangpur,126222,82183,630,0,8335,72827,0,0
16,লালমনিরহাট-১,Rangpur,129715,138686,226,0,2242,8954,5158,0
17,লালমনিরহাট-২,Rangpur,117252,123946,1089,0,6939,3499,810,20127
18,লালমনিরহাট-৩,Rangpur,56244,140080,869,0,3283,0,2150,0
19,রংপুর-১,Rangpur,147245,69131,441,1103,5224,0,0,0
20,রংপুর-২,Rangpur,135556,80538,321,0,5858,0,33930,0
21,রংপুর-৩,Rangpur,178064,85498,911,0,8638,691,43790,0
22,রংপুর-৪,Rangpur,150307,140564,243,0,4437,126,33664,543
23,রংপুর-৫,Rangpur,176764,115116,847,0,2394,257,16490,216
24,রংপুর-৬,Rangpur,120347,117703,0,0,2093,392,1287,0
25,কুড়িগ্রাম-১,Rangpur,141090,123256,0,0,38807,0,50727,2907
26,কুড়িগ্রাম-২,Rangpur,181430,171826,657,0,24829,0,13846,1100
27,কুড়িগ্রাম-৩,Rangpur,107930,79951,0,0,33578,0,2112,0
28,কুড়িগ্রাম-৪,Rangpur,108210,84423,521,0,6231,20902,2180,0
29,গাইবান্ধা-১,Rangpur,140726,37997,399,0,2064,27518,33976,174
30,গাইবান্ধা-২,Rangpur,122630,92890,2971,0,2367,0,21310,197
31,গাইবান্ধা-৩,Rangpur,162457,141656,2566,0,0,1142,1638,3140
32,গাইবান্ধা-৪,Rangpur,139738,143140,0,0,1373,1552,2360,0
33,গাইবান্ধা-৫,Rangpur,89274,73483,717,0,2207,46791,3427,0
34,জয়পুরহাট-১,Rajshahi,165192,155309,130,0,0,1257,0,0
35,জয়পুরহাট-২,Rajshahi,92704,158065,0,0,0,0,0,0
36,বগুড়া-১,Rajshahi,9424,169861,0,0,0,0,0,0
37,বগুড়া-২,Rajshahi,0,14524,0,0,0,0,0,0
38,বগুড়া-৩,Rajshahi,4215,127406,0,0,0,0,0,0
39,বগুড়া-৪,Rajshahi,64825,155339,0,0,0,0,0,0
40,বগুড়া-৫,Rajshahi,83732,248841,0,0,0,0,0,0
41,বগুড়া-৬,Rajshahi,73180,216284,0,0,0,0,0,0
42,বগুড়া-৭,Rajshahi,8968,216284,0,0,0,0,0,0
43,চাঁপাইনবাবগঞ্জ-১,Rajshahi,206893,160719,0,0,58,0,0,0
44,চাঁপাইনবাবগঞ্জ-২,Rajshahi,171227,155598,0,0,0,0,0,0
45,চাঁপাইনবাবগঞ্জ-৩,Rajshahi,189640,126997,0,0,0,0,0,0
46,নওগাঁ-১,Rajshahi,12693,149202,0,0,0,0,0,0
47,নওগাঁ-২,Rajshahi,141526,134833,0,0,0,0,0,0
48,নওগাঁ-৩,Rajshahi,113263,162830,0,0,0,0,0,0
49,নওগাঁ-৪,Rajshahi,96816,133801,0,0,0,0,4025,0
50,নওগাঁ-৫,Rajshahi,43367,49732,0,0,0,0,0,0
51,নওগাঁ-৬,Rajshahi,95886,108070,0,0,0,0,0,0
52,রাজশাহী-১,Rajshahi,171786,169902,0,0,0,0,0,201
53,রাজশাহী-২,Rajshahi,101526,128745,0,0,0,0,0,0
54,রাজশাহী-৩,Rajshahi,137927,176318,0,0,0,0,0,0
55,রাজশাহী-৪,Rajshahi,115226,109461,0,0,0,0,0,0
56,রাজশাহী-৫,Rajshahi,73445,153425,0,0,0,0,0,0
57,রাজশাহী-৬,Rajshahi,92965,148672,0,0,0,0,0,0
58,নাটোর-১,Rajshahi,64305,0,0,0,0,53478,0,102726
59,নাটোর-২,Rajshahi,116439,162841,0,0,0,0,0,0
60,নাটোর-৩,Rajshahi,11834,119768,0,0,0,66191,0,0
61,নাটোর-৪,Rajshahi,50737,170551,0,0,0,0,0,0
62,সিরাজগঞ্জ-১,Rajshahi,108815,116613,0,0,0,0,0,0
63,সিরাজগঞ্জ-২,Rajshahi,138797,177578,0,0,0,0,0,0
64,সিরাজগঞ্জ-৩,Rajshahi,116802,174430,0,0,0,0,0,0
65,সিরাজগঞ্জ-৪,Rajshahi,161872,161278,0,0,0,0,0,0
66,সিরাজগঞ্জ-৫,Rajshahi,106805,134989,0,0,0,0,0,0
67,সিরাজগঞ্জ-৬,Rajshahi,103824,171508,0,0,0,0,0,0
68,পাবনা-১,Rajshahi,128467,103663,0,0,0,0,0,0
69,পাবনা-২,Rajshahi,75387,215406,0,0,0,0,0,0
70,পাবনা-৩,Rajshahi,147475,143540,0,0,0,37852,0,0
71,পাবনা-৪,Rajshahi,137275,134186,0,0,0,12586,0,0
72,পাবনা-৫,Rajshahi,159201,181169,0,0,0,0,0,0
73,মেহেরপুর-১,Khulna,121161,104769,435,0,0,0,688,0
74,মেহেরপুর-২,Khulna,94658,85452,0,0,0,0,1791,0
75,কুষ্টিয়া-১,Khulna,82153,157817,0,0,0,0,0,0
76,কুষ্টিয়া-২,Khulna,86607,63345,0,0,0,0,0,0
77,কুষ্টিয়া-৩,Khulna,180690,126909,0,0,0,0,0,0
78,কুষ্টিয়া-৪,Khulna,146204,138574,0,0,0,0,0,0
79,চুয়াডাঙ্গা-১,Khulna,213896,152659,0,0,0,0,0,0
80,চুয়াডাঙ্গা-২,Khulna,208011,163877,0,0,6374,0,0,0
81,ঝিনাইদহ-১,Khulna,57055,173381,0,0,0,0,0,0
82,ঝিনাইদহ-২,Khulna,195702,175984,0,0,0,0,0,0
83,ঝিনাইদহ-৩,Khulna,175857,145812,0,0,0,0,0,0
84,ঝিনাইদহ-৪,Khulna,49495,14170,0,0,0,35970,0,0
85,যশোর-১,Khulna,119093,93542,0,0,0,0,0,0
86,যশোর-২,Khulna,171991,146322,0,0,0,0,0,0
87,যশোর-৩,Khulna,168133,174715,0,0,0,0,0,0
88,যশোর-৪,Khulna,177533,128172,0,0,0,0,0,0
89,যশোর-৫,Khulna,132858,55419,0,0,0,85517,0,0
90,যশোর-৬,Khulna,92253,79979,0,0,0,0,0,0
91,মাগুরা-১,Khulna,83783,184396,817,0,2821,0,9313,605
92,মাগুরা-২,Khulna,117807,150180,0,0,565,0,0,0
93,নড়াইল-১,Khulna,75225,99975,0,0,6352,3105,461,0
94,নড়াইল-২,Khulna,118142,45463,0,0,4729,79015,908,0
95,বাগেরহাট-১,Khulna,117966,114590,0,0,0,213,0,0
96,বাগেরহাট-২,Khulna,116370,66274,0,0,3674,36126,0,0
97,বাগেরহাট-৩,Khulna,81338,99570,0,0,3587,0,0,0
98,বাগেরহাট-৪,Khulna,116067,98326,0,0,0,0,0,0
99,খুলনা-১,Khulna,70346,121352,0,0,0,0,0,0
100,খুলনা-২,Khulna,93789,0,0,0,656,0,0,88187
101,খুলনা-৩,Khulna,63505,73570,0,0,0,0,0,0
102,খুলনা-৪,Khulna,109530,123162,0,0,303,0,0,19
103,খুলনা-৫,Khulna,146246,148854,0,0,0,0,0,0
104,খুলনা-৬,Khulna,150724,124710,59,0,89,0,171,0
105,সাতক্ষীরা-১,Khulna,193772,179995,0,0,0,0,0,0
106,সাতক্ষীরা-২,Khulna,266959,116293,317,0,1976,0,4278,0
107,সাতক্ষীরা-৩,Khulna,184233,56819,0,0,0,105379,0,0
108,সাতক্ষীরা-৪,Khulna,106913,85426,0,0,0,0,0,0
109,বরগুনা-১,Barishal,0,136145,0,0,140291,0,0,0
110,বরগুনা-২,Barishal,75188,90643,0,0,0,0,0,0
111,পটুয়াখালী-১,Barishal,46310,152434,1334,0,58161,0,1055,0
112,পটুয়াখালী-২,Barishal,100750,72539,0,0,14159,0,0,0
113,পটুয়াখালী-৩,Barishal,0,97323,0,0,0,47930,0,0
114,পটুয়াখালী-৪,Barishal,14631,124013,0,0,69776,0,0,0
115,ভোলা-১,Barishal,73773,105543,0,0,0,0,0,0
116,ভোলা-২,Barishal,93498,119085,0,0,0,0,0,0
117,ভোলা-৩,Barishal,57351,146250,0,0,7255,508,789,0
118,ভোলা-৪,Barishal,81446,189711,0,0,0,0,0,0
119,বরিশাল-১,Barishal,46263,100552,0,0,6846,44188,1736,0
120,বরিশাল-২,Barishal,70732,141280,0,0,2875,0,0,0
121,বরিশাল-৩,Barishal,61192,81790,0,0,16325,0,14398,0
122,বরিশাল-৪,Barishal,72856,127282,0,0,0,0,0,0
123,বরিশাল-৫,Barishal,0,135146,21960,0,93216,0,0,0
124,বরিশাল-৬,Barishal,54533,82217,0,0,28823,0,0,0
125,ঝালকাঠি-১,Barishal,55120,62010,0,0,0,0,0,0
126,ঝালকাঠি-২,Barishal,69805,113419,0,0,0,0,0,0
127,পিরোজপুর-১,Barishal,132659,107105,0,0,0,0,0,0
128,পিরোজপুর-২,Barishal,96897,105185,0,0,0,0,0,0
129,পিরোজপুর-৩,Barishal,36616,63791,0,0,0,35968,0,0
130,টাঙ্গাইল-১,Dhaka,94462,153932,0,0,0,0,0,0
131,টাঙ্গাইল-২,Dhaka,51332,198213,0,0,0,0,0,0
132,টাঙ্গাইল-৩,Dhaka,0,81734,0,0,0,107901,0,0
133,টাঙ্গাইল-৪,Dhaka,50192,105342,0,0,1822,66661,758,0
134,টাঙ্গাইল-৫,Dhaka,80283,131279,0,0,0,69408,0,0
135,টাঙ্গাইল-৬,Dhaka,87904,150952,0,0,0,0,0,0
136,টাঙ্গাইল-৭,Dhaka,71040,141253,0,0,0,0,0,1492
137,টাঙ্গাইল-৮,Dhaka,0,114217,0,0,0,77130,0,0
138,জামালপুর-১,Mymensingh,97820,173882,0,0,4121,0,931,0
139,জামালপুর-২,Mymensingh,62434,95860,0,0,1713,0,0,0
140,জামালপুর-৩,Mymensingh,81413,208467,0,0,2546,22859,844,0
141,জামালপুর-৪,Mymensingh,44947,147789,1314,0,1302,0,0,379
142,জামালপুর-৫,Mymensingh,113201,199883,1127,0,4282,0,3739,225
143,শেরপুর-১,Mymensingh,128267,78342,0,0,0,62415,994,0
144,শেরপুর-২,Mymensingh,108332,118472,0,0,0,0,0,0
145,শেরপুর-৩,Mymensingh,0,0,0,0,0,0,0,0
146,ময়মনসিংহ-১,Mymensingh,53496,101962,398,0,3125,108265,0,0
147,ময়মনসিংহ-২,Mymensingh,146202,118438,0,1071,3857,49372,725,0
148,ময়মনসিংহ-৩,Mymensingh,0,74478,0,0,0,65513,0,0
149,ময়মনসিংহ-৪,Mymensingh,171880,180508,2137,892,8701,0,3845,0
150,ময়মনসিংহ-৫,Mymensingh,100776,128896,0,0,0,0,0,0
151,ময়মনসিংহ-৬,Mymensingh,77325,49478,0,0,1967,105301,0,0
152,ময়মনসিংহ-৭,Mymensingh,84851,99049,0,0,4058,34372,579,0
153,ময়মনসিংহ-৮,Mymensingh,45791,107577,0,0,32734,0,1719,0
154,ময়মনসিংহ-৯,Mymensingh,71291,86195,0,0,0,0,0,0
155,ময়মনসিংহ-১০,Mymensingh,0,75585,0,0,0,66999,0,0
156,ময়মনসিংহ-১১,Mymensingh,22195,111230,0,0,0,66016,0,0
157,নেত্রকোনা-১,Mymensingh,87488,158343,4764,0,2220,0,1023,0
158,নেত্রকোনা-২,Mymensingh,21429,171399,0,0,5356,0,0,1421
159,নেত্রকোনা-৩,Mymensingh,39308,118469,0,69,565,15458,94,0
160,নেত্রকোনা-৪,Mymensingh,39840,160874,1185,0,617,0,0,0
161,নেত্রকোনা-৫,Mymensingh,82177,79412,0,0,3341,0,0,0
162,কিশোরগঞ্জ-১,Dhaka,101816,124282,2119,0,0,37334,0,0
163,কিশোরগঞ্জ-২,Dhaka,120975,143669,0,0,3566,1676,2113,222
164,কিশোরগঞ্জ-৩,Dhaka,101222,112466,0,0,0,0,0,0
165,কিশোরগঞ্জ-৪,Dhaka,55646,132472,0,0,0,0,0,0
166,কিশোরগঞ্জ-৫,Dhaka,54400,66450,0,1313,2688,81501,295,135
167,কিশোরগঞ্জ-৬,Dhaka,44095,187344,312,2172,2411,0,806,630
168,মানিকগঞ্জ-১,Dhaka,71310,138839,283,0,3247,84784,0,0
169,মানিকগঞ্জ-২,Dhaka,81531,175776,0,0,0,0,3127,0
170,মানিকগঞ্জ-৩,Dhaka,64242,167345,0,0,0,20551,0,0
171,মুন্সীগঞ্জ-১,Dhaka,101568,167562,0,0,0,3513,0,0
172,মুন্সীগঞ্জ-২,Dhaka,58573,121154,0,637,13213,0,2805,0
173,মুন্সীগঞ্জ-৩,Dhaka,54750,124865,304,0,6392,88936,804,0
174,ঢাকা-১,Dhaka,122622,173781,271,0,6607,4880,1362,0
175,ঢাকা-২,Dhaka,80053,163793,0,0,6352,0,0,0
176,ঢাকা-৩,Dhaka,83264,99638,196,0,6286,313,1075,337
177,ঢাকা-৪,Dhaka,77367,74447,551,0,6518,2867,128,191
